Participant,Window,Start,Nb_Fixations,Mean_Duration_ms
enriched,window_1,0,163,295.01460184156895
enriched,window_2,30,188,248.67597872288303
enriched,window_3,60,127,310.2154062993414
enriched,window_4,90,143,364.77252797063414
enriched,window_5,120,161,265.5562695651691
enriched,window_6,150,154,256.60775064860843
enriched,window_7,180,168,287.64770833358523
enriched,window_8,210,177,239.76521694938006
enriched,window_9,240,167,306.91385988079145
enriched,window_10,270,174,297.761314942919
enriched,window_11,300,162,301.3403629625653
enriched,window_12,330,171,203.28545847901125
enriched,window_13,360,146,292.93223424643685
enriched,window_14,390,140,355.1175471429314
enriched,window_15,420,178,267.30902022575395
enriched,window_16,450,181,285.9935397789788
enriched,window_17,480,165,317.76934484902654
enriched,window_18,510,163,251.26900674713536
enriched,window_19,540,170,289.1559458829024
enriched,window_20,570,156,250.9246782045334
enriched,window_21,600,178,294.94680561794996
enriched,window_22,630,146,309.94865000074446
enriched,window_23,660,147,255.80031088389913
enriched,window_24,690,169,280.10734733736376
enriched,window_25,720,194,258.68727422759093
enriched,window_26,750,181,278.510819336739
enriched,window_27,780,135,291.0929340748875
enriched,window_28,810,172,243.42847790725008
enriched,window_29,840,116,370.42171724012184
enriched,window_30,870,119,335.0472756302407
enriched,window_31,900,97,410.6415402053558
enriched,window_32,930,106,366.2288254722953
enriched,window_33,960,159,311.1435566045953
enriched,window_34,990,182,284.5372417578167
enriched,window_35,1020,176,292.4281227280471
enriched,window_36,1050,106,325.63902169733115
enriched,window_37,1080,99,348.0807292932513
enriched,window_38,1110,89,336.50733258466374
enriched,window_39,1140,0,0
enriched,window_40,1170,0,0
enriched,window_41,1200,0,0
enriched,window_42,1230,0,0
enriched,window_43,1260,0,0
enriched,window_44,1290,0,0
enriched,window_45,1320,0,0
enriched,window_46,1350,0,0
enriched,window_47,1380,0,0
enriched,window_48,1410,0,0
enriched,window_49,1440,0,0
enriched,window_50,1470,0,0
enriched,window_51,1500,0,0
enriched,window_52,1530,0,0
enriched,window_53,1560,0,0
enriched,window_54,1590,0,0
enriched,window_55,1620,0,0
enriched,window_56,1650,0,0
enriched,window_57,1680,0,0
enriched,window_58,1710,0,0
enriched,window_59,1740,0,0
enriched,window_60,1770,0,0
enriched,window_61,1800,0,0
enriched,window_62,1830,0,0
enriched,window_63,1860,0,0
enriched,window_64,1890,0,0
enriched,window_65,1920,0,0
enriched,window_66,1950,0,0
enriched,window_67,1980,0,0
enriched,window_68,2010,0,0
enriched,window_69,2040,0,0
enriched,window_70,2070,0,0
enriched,window_71,2100,0,0
enriched,window_72,2130,0,0
enriched,window_73,2160,0,0
enriched,window_74,2190,0,0
enriched,window_75,2220,0,0
enriched,window_76,2250,0,0
enriched,window_77,2280,0,0
enriched,window_78,2310,0,0
enriched,window_79,2340,0,0
enriched,window_80,2370,0,0
enriched,window_81,2400,0,0
enriched,window_82,2430,0,0
enriched,window_83,2460,0,0
enriched,window_84,2490,0,0
enriched,window_85,2520,0,0
enriched,window_86,2550,0,0
enriched,window_87,2580,0,0
enriched,window_88,2610,0,0
enriched,window_89,2640,0,0
enriched,window_90,2670,0,0
enriched,window_91,2700,0,0
enriched,window_92,2730,0,0
enriched,window_93,2760,0,0
enriched,window_94,2790,0,0
enriched,window_95,2820,0,0
enriched,window_96,2850,0,0
enriched,window_97,2880,0,0
enriched,window_98,2910,0,0
enriched,window_99,2940,0,0
enriched,window_100,2970,0,0
enriched,window_101,3000,0,0
enriched,window_102,3030,0,0
enriched,window_103,3060,0,0
enriched,window_104,3090,0,0
enriched,window_105,3120,0,0
enriched,window_106,3150,0,0
enriched,window_107,3180,0,0
enriched,window_108,3210,0,0
enriched,window_109,3240,0,0
enriched,window_110,3270,0,0
enriched,window_111,3300,0,0
enriched,window_112,3330,0,0
enriched,window_113,3360,0,0
enriched,window_114,3390,0,0
enriched,window_115,3420,0,0
enriched,window_116,3450,0,0
enriched,window_117,3480,0,0
enriched,window_118,3510,0,0
enriched,window_119,3540,0,0
enriched,window_120,3570,0,0
enriched,window_121,3600,0,0
enriched,window_122,3630,0,0
enriched,window_123,3660,0,0
enriched,window_124,3690,0,0
enriched,window_125,3720,0,0
enriched,window_126,3750,0,0
enriched,window_127,3780,0,0
enriched,window_128,3810,0,0
enriched,window_129,3840,0,0
enriched,window_130,3870,0,0
enriched,window_131,3900,0,0
enriched,window_132,3930,0,0
enriched,window_133,3960,0,0
enriched,window_134,3990,0,0
enriched,window_135,4020,0,0
enriched,window_136,4050,0,0
enriched,window_137,4080,0,0
enriched,window_138,4110,0,0
enriched,window_139,4140,0,0
enriched,window_140,4170,0,0
enriched,window_141,4200,0,0
enriched,window_142,4230,0,0
enriched,window_143,4260,0,0
enriched,window_144,4290,0,0
enriched,window_145,4320,0,0
enriched,window_146,4350,0,0
enriched,window_147,4380,0,0
enriched,window_148,4410,0,0
enriched,window_149,4440,0,0
enriched,window_150,4470,0,0
enriched,window_151,4500,0,0
enriched,window_152,4530,0,0
enriched,window_153,4560,0,0
enriched,window_154,4590,0,0
enriched,window_155,4620,0,0
enriched,window_156,4650,0,0
enriched,window_157,4680,0,0
enriched,window_158,4710,0,0
enriched,window_159,4740,0,0
enriched,window_160,4770,0,0
enriched,window_161,4800,0,0
enriched,window_162,4830,0,0
enriched,window_163,4860,0,0
enriched,window_164,4890,0,0
enriched,window_165,4920,0,0
enriched,window_166,4950,0,0
enriched,window_167,4980,0,0
enriched,window_168,5010,0,0
enriched,window_169,5040,0,0
enriched,window_170,5070,0,0
enriched,window_171,5100,0,0
enriched,window_172,5130,0,0
enriched,window_173,5160,0,0
enriched,window_174,5190,0,0
enriched,window_175,5220,0,0
enriched,window_176,5250,0,0
enriched,window_177,5280,0,0
enriched,window_178,5310,0,0
enriched,window_179,5340,0,0
enriched,window_180,5370,0,0
enriched,window_181,5400,0,0
enriched,window_182,5430,0,0
enriched,window_183,5460,0,0
enriched,window_184,5490,0,0
enriched,window_185,5520,0,0
enriched,window_186,5550,0,0
enriched,window_187,5580,0,0
enriched,window_188,5610,0,0
enriched,window_189,5640,0,0
enriched,window_190,5670,0,0
enriched,window_191,5700,0,0
enriched,window_192,5730,0,0
enriched,window_193,5760,0,0
enriched,window_194,5790,0,0
enriched,window_195,5820,0,0
enriched,window_196,5850,0,0
enriched,window_197,5880,0,0
enriched,window_198,5910,0,0
enriched,window_199,5940,0,0
enriched,window_200,5970,0,0
enriched,window_201,6000,0,0
enriched,window_202,6030,0,0
enriched,window_203,6060,0,0
enriched,window_204,6090,0,0
enriched,window_205,6120,0,0
enriched,window_206,6150,0,0
enriched,window_207,6180,0,0
enriched,window_208,6210,0,0
enriched,window_209,6240,0,0
enriched,window_210,6270,0,0
enriched,window_211,6300,0,0
enriched,window_212,6330,0,0
enriched,window_213,6360,0,0
enriched,window_214,6390,0,0
enriched,window_215,6420,0,0
enriched,window_216,6450,0,0
enriched,window_217,6480,0,0
enriched,window_218,6510,0,0
enriched,window_219,6540,0,0
enriched,window_220,6570,0,0
enriched,window_221,6600,0,0
enriched,window_222,6630,0,0
enriched,window_223,6660,0,0
enriched,window_224,6690,0,0
enriched,window_225,6720,0,0
enriched,window_226,6750,0,0
enriched,window_227,6780,0,0
enriched,window_228,6810,0,0
enriched,window_229,6840,0,0
enriched,window_230,6870,0,0
enriched,window_231,6900,0,0
enriched,window_232,6930,0,0
enriched,window_233,6960,0,0
enriched,window_234,6990,0,0
enriched,window_235,7020,0,0
enriched,window_236,7050,0,0
enriched,window_237,7080,0,0
enriched,window_238,7110,0,0
enriched,window_239,7140,0,0
enriched,window_240,7170,0,0
enriched,window_241,7200,0,0
enriched,window_242,7230,0,0
enriched,window_243,7260,0,0
enriched,window_244,7290,0,0
enriched,window_245,7320,0,0
enriched,window_246,7350,0,0
enriched,window_247,7380,0,0
enriched,window_248,7410,0,0
enriched,window_249,7440,0,0
enriched,window_250,7470,0,0
enriched,window_251,7500,0,0
enriched,window_252,7530,0,0
enriched,window_253,7560,0,0
enriched,window_254,7590,0,0
enriched,window_255,7620,0,0
enriched,window_256,7650,0,0
enriched,window_257,7680,0,0
enriched,window_258,7710,0,0
enriched,window_259,7740,0,0
enriched,window_260,7770,0,0
enriched,window_261,7800,0,0
enriched,window_262,7830,0,0
enriched,window_263,7860,0,0
enriched,window_264,7890,0,0
enriched,window_265,7920,0,0
enriched,window_266,7950,0,0
enriched,window_267,7980,0,0
enriched,window_268,8010,0,0
enriched,window_269,8040,0,0
enriched,window_270,8070,0,0
enriched,window_271,8100,0,0
enriched,window_272,8130,0,0
enriched,window_273,8160,0,0
enriched,window_274,8190,0,0
enriched,window_275,8220,0,0
enriched,window_276,8250,0,0
enriched,window_277,8280,0,0
enriched,window_278,8310,0,0
enriched,window_279,8340,0,0
enriched,window_280,8370,0,0
enriched,window_281,8400,0,0
enriched,window_282,8430,0,0
enriched,window_283,8460,0,0
enriched,window_284,8490,0,0
enriched,window_285,8520,0,0
enriched,window_286,8550,0,0
enriched,window_287,8580,0,0
enriched,window_288,8610,0,0
enriched,window_289,8640,0,0
enriched,window_290,8670,0,0
enriched,window_291,8700,0,0
enriched,window_292,8730,0,0
enriched,window_293,8760,0,0
enriched,window_294,8790,0,0
enriched,window_295,8820,0,0
enriched,window_296,8850,0,0
enriched,window_297,8880,0,0
enriched,window_298,8910,0,0
enriched,window_299,8940,0,0
enriched,window_300,8970,0,0
enriched,window_301,9000,0,0
enriched,window_302,9030,0,0
enriched,window_303,9060,0,0
enriched,window_304,9090,0,0
enriched,window_305,9120,0,0
enriched,window_306,9150,0,0
enriched,window_307,9180,0,0
enriched,window_308,9210,0,0
enriched,window_309,9240,0,0
enriched,window_310,9270,0,0
enriched,window_311,9300,0,0
enriched,window_312,9330,0,0
enriched,window_313,9360,0,0
enriched,window_314,9390,0,0
enriched,window_315,9420,0,0
enriched,window_316,9450,0,0
enriched,window_317,9480,0,0
enriched,window_318,9510,0,0
enriched,window_319,9540,0,0
enriched,window_320,9570,0,0
enriched,window_321,9600,0,0
enriched,window_322,9630,0,0
enriched,window_323,9660,0,0
enriched,window_324,9690,0,0
enriched,window_325,9720,0,0
enriched,window_326,9750,0,0
enriched,window_327,9780,0,0
enriched,window_328,9810,0,0
enriched,window_329,9840,0,0
enriched,window_330,9870,0,0
enriched,window_331,9900,0,0
enriched,window_332,9930,0,0
enriched,window_333,9960,0,0
enriched,window_334,9990,0,0
enriched,window_335,10020,0,0
enriched,window_336,10050,0,0
enriched,window_337,10080,0,0
enriched,window_338,10110,0,0
enriched,window_339,10140,0,0
enriched,window_340,10170,0,0
enriched,window_341,10200,0,0
enriched,window_342,10230,0,0
enriched,window_343,10260,0,0
enriched,window_344,10290,0,0
enriched,window_345,10320,0,0
enriched,window_346,10350,0,0
enriched,window_347,10380,0,0
enriched,window_348,10410,0,0
enriched,window_349,10440,0,0
enriched,window_350,10470,0,0
enriched,window_351,10500,0,0
enriched,window_352,10530,0,0
enriched,window_353,10560,0,0
enriched,window_354,10590,0,0
enriched,window_355,10620,0,0
enriched,window_356,10650,0,0
enriched,window_357,10680,0,0
enriched,window_358,10710,0,0
enriched,window_359,10740,0,0
enriched,window_360,10770,0,0
enriched,window_361,10800,0,0
enriched,window_362,10830,0,0
enriched,window_363,10860,0,0
enriched,window_364,10890,0,0
enriched,window_365,10920,0,0
enriched,window_366,10950,0,0
enriched,window_367,10980,0,0
enriched,window_368,11010,0,0
enriched,window_369,11040,0,0
enriched,window_370,11070,0,0
enriched,window_371,11100,0,0
enriched,window_372,11130,104,259.0249442301977
enriched,window_373,11160,183,275.43212677546535
enriched,window_374,11190,181,290.5555734802346
enriched,window_375,11220,155,339.41075419331753
enriched,window_376,11250,176,295.56991022791374
enriched,window_377,11280,192,266.9554625013843
enriched,window_378,11310,188,275.52719255267306
enriched,window_379,11340,177,289.56799887061794
enriched,window_380,11370,125,406.45108719944955
enriched,window_381,11400,189,271.62990529141416
enriched,window_382,11430,180,293.2513833329082
enriched,window_383,11460,182,281.25962802227383
enriched,window_384,11490,190,273.34592947379537
enriched,window_385,11520,183,277.9075273215119
enriched,window_386,11550,180,288.5448722216818
enriched,window_387,11580,191,274.3172329838207
enriched,window_388,11610,138,367.16271884134716
enriched,window_389,11640,142,356.1521584509124
enriched,window_390,11670,180,285.6369805561172
enriched,window_391,11700,164,322.7360865860814
enriched,window_392,11730,210,240.83489095249345
enriched,window_393,11760,162,322.3494185178
enriched,window_394,11790,129,414.5262806191463
enriched,window_395,11820,169,308.83438520777156
enriched,window_396,11850,129,387.59647364325303
enriched,window_397,11880,117,445.6021846149467
enriched,window_398,11910,139,364.64638920921647
enriched,window_399,11940,164,318.7659658538859
enriched,window_400,11970,156,340.10722307708016
enriched,window_401,12000,154,342.3364337657566
enriched,window_402,12030,160,309.9572593747638
enriched,window_403,12060,167,312.990409579998
enriched,window_404,12090,180,284.25214611084925
enriched,window_405,12120,178,269.17764494358823
enriched,window_406,12150,130,369.6512807689034
enriched,window_407,12180,120,417.9783333341281
enriched,window_408,12210,105,504.0162552393618
enriched,window_409,12240,184,280.9122076093665
enriched,window_410,12270,150,354.9360646668076
enriched,window_411,12300,159,336.4817748425892
enriched,window_412,12330,165,312.38955212081925
enriched,window_413,12360,191,268.5463596861712
enriched,window_414,12390,125,408.4049000000954
enriched,window_415,12420,117,453.358752990635
enriched,window_416,12450,105,503.4309276184865
enriched,window_417,12480,110,356.33867363631725
simplified,window_1,0,0,0
simplified,window_2,30,0,0
simplified,window_3,60,0,0
simplified,window_4,90,0,0
simplified,window_5,120,0,0
simplified,window_6,150,0,0
simplified,window_7,180,0,0
simplified,window_8,210,0,0
simplified,window_9,240,0,0
simplified,window_10,270,0,0
simplified,window_11,300,0,0
simplified,window_12,330,0,0
simplified,window_13,360,0,0
simplified,window_14,390,0,0
simplified,window_15,420,0,0
simplified,window_16,450,0,0
simplified,window_17,480,0,0
simplified,window_18,510,0,0
simplified,window_19,540,0,0
simplified,window_20,570,0,0
simplified,window_21,600,0,0
simplified,window_22,630,0,0
simplified,window_23,660,0,0
simplified,window_24,690,0,0
simplified,window_25,720,0,0
simplified,window_26,750,0,0
simplified,window_27,780,0,0
simplified,window_28,810,0,0
simplified,window_29,840,0,0
simplified,window_30,870,0,0
simplified,window_31,900,0,0
simplified,window_32,930,0,0
simplified,window_33,960,0,0
simplified,window_34,990,0,0
simplified,window_35,1020,0,0
simplified,window_36,1050,0,0
simplified,window_37,1080,0,0
simplified,window_38,1110,0,0
simplified,window_39,1140,0,0
simplified,window_40,1170,0,0
simplified,window_41,1200,0,0
simplified,window_42,1230,0,0
simplified,window_43,1260,0,0
simplified,window_44,1290,0,0
simplified,window_45,1320,0,0
simplified,window_46,1350,0,0
simplified,window_47,1380,0,0
simplified,window_48,1410,0,0
simplified,window_49,1440,0,0
simplified,window_50,1470,0,0
simplified,window_51,1500,0,0
simplified,window_52,1530,0,0
simplified,window_53,1560,0,0
simplified,window_54,1590,0,0
simplified,window_55,1620,0,0
simplified,window_56,1650,0,0
simplified,window_57,1680,0,0
simplified,window_58,1710,0,0
simplified,window_59,1740,0,0
simplified,window_60,1770,0,0
simplified,window_61,1800,0,0
simplified,window_62,1830,0,0
simplified,window_63,1860,0,0
simplified,window_64,1890,0,0
simplified,window_65,1920,0,0
simplified,window_66,1950,0,0
simplified,window_67,1980,0,0
simplified,window_68,2010,0,0
simplified,window_69,2040,0,0
simplified,window_70,2070,0,0
simplified,window_71,2100,0,0
simplified,window_72,2130,0,0
simplified,window_73,2160,0,0
simplified,window_74,2190,0,0
simplified,window_75,2220,0,0
simplified,window_76,2250,0,0
simplified,window_77,2280,0,0
simplified,window_78,2310,0,0
simplified,window_79,2340,0,0
simplified,window_80,2370,0,0
simplified,window_81,2400,0,0
simplified,window_82,2430,0,0
simplified,window_83,2460,0,0
simplified,window_84,2490,0,0
simplified,window_85,2520,0,0
simplified,window_86,2550,0,0
simplified,window_87,2580,0,0
simplified,window_88,2610,0,0
simplified,window_89,2640,0,0
simplified,window_90,2670,0,0
simplified,window_91,2700,0,0
simplified,window_92,2730,0,0
simplified,window_93,2760,0,0
simplified,window_94,2790,0,0
simplified,window_95,2820,0,0
simplified,window_96,2850,0,0
simplified,window_97,2880,0,0
simplified,window_98,2910,0,0
simplified,window_99,2940,0,0
simplified,window_100,2970,0,0
simplified,window_101,3000,0,0
simplified,window_102,3030,0,0
simplified,window_103,3060,0,0
simplified,window_104,3090,0,0
simplified,window_105,3120,0,0
simplified,window_106,3150,0,0
simplified,window_107,3180,0,0
simplified,window_108,3210,0,0
simplified,window_109,3240,0,0
simplified,window_110,3270,0,0
simplified,window_111,3300,0,0
simplified,window_112,3330,0,0
simplified,window_113,3360,0,0
simplified,window_114,3390,0,0
simplified,window_115,3420,0,0
simplified,window_116,3450,0,0
simplified,window_117,3480,0,0
simplified,window_118,3510,0,0
simplified,window_119,3540,0,0
simplified,window_120,3570,0,0
simplified,window_121,3600,0,0
simplified,window_122,3630,0,0
simplified,window_123,3660,0,0
simplified,window_124,3690,0,0
simplified,window_125,3720,0,0
simplified,window_126,3750,0,0
simplified,window_127,3780,0,0
simplified,window_128,3810,0,0
simplified,window_129,3840,0,0
simplified,window_130,3870,0,0
simplified,window_131,3900,0,0
simplified,window_132,3930,47,230.53340212937366
simplified,window_133,3960,84,273.1197809516674
simplified,window_134,3990,94,250.57350106489784
simplified,window_135,4020,97,248.04486804125236
simplified,window_136,4050,82,266.2230756108354
simplified,window_137,4080,79,224.14965063276924
simplified,window_138,4110,95,230.25103157931252
simplified,window_139,4140,92,251.73148913017434
simplified,window_140,4170,90,267.04002777818175
simplified,window_141,4200,91,270.9694461542499
simplified,window_142,4230,83,227.8348469881408
simplified,window_143,4260,104,233.11528365414304
simplified,window_144,4290,85,242.9416776469525
simplified,window_145,4320,83,254.88691325306175
simplified,window_146,4350,86,222.66838139642115
simplified,window_147,4380,78,251.11057179669538
simplified,window_148,4410,42,435.1423619038292
simplified,window_149,4440,68,293.1854573536445
simplified,window_150,4470,79,213.0459936719529
simplified,window_151,4500,70,256.3139285721949
simplified,window_152,4530,98,226.96311224449653
simplified,window_153,4560,93,218.92479892427562
simplified,window_154,4590,74,245.36801486502628
simplified,window_155,4620,81,270.85898148148885
simplified,window_156,4650,105,225.9602571424984
simplified,window_157,4680,108,204.58887407459594
simplified,window_158,4710,101,225.17485643598704
simplified,window_159,4740,77,250.5493844153432
simplified,window_160,4770,73,277.0714054795569
simplified,window_161,4800,98,219.1907428582104
simplified,window_162,4830,101,201.2590702965413
simplified,window_163,4860,97,217.88903814462043
simplified,window_164,4890,100,217.56626800075173
simplified,window_165,4920,71,260.08158309736723
simplified,window_166,4950,76,273.2676631580842
simplified,window_167,4980,97,181.99433917606
simplified,window_168,5010,102,206.41608823616716
simplified,window_169,5040,88,206.2296261364086
simplified,window_170,5070,82,238.41682317107916
simplified,window_171,5100,85,206.38331411761396
simplified,window_172,5130,103,201.44178252399547
simplified,window_173,5160,80,240.95150999929757
simplified,window_174,5190,8,252.44161249883473
simplified,window_175,5220,0,0
simplified,window_176,5250,0,0
simplified,window_177,5280,0,0
simplified,window_178,5310,0,0
simplified,window_179,5340,0,0
simplified,window_180,5370,0,0
simplified,window_181,5400,0,0
simplified,window_182,5430,0,0
simplified,window_183,5460,0,0
simplified,window_184,5490,0,0
simplified,window_185,5520,0,0
simplified,window_186,5550,0,0
simplified,window_187,5580,0,0
simplified,window_188,5610,0,0
simplified,window_189,5640,0,0
simplified,window_190,5670,0,0
simplified,window_191,5700,0,0
simplified,window_192,5730,0,0
simplified,window_193,5760,0,0
simplified,window_194,5790,0,0
simplified,window_195,5820,0,0
simplified,window_196,5850,0,0
simplified,window_197,5880,0,0
simplified,window_198,5910,0,0
simplified,window_199,5940,0,0
simplified,window_200,5970,0,0
simplified,window_201,6000,0,0
simplified,window_202,6030,0,0
simplified,window_203,6060,0,0
simplified,window_204,6090,0,0
simplified,window_205,6120,0,0
simplified,window_206,6150,0,0
simplified,window_207,6180,0,0
simplified,window_208,6210,0,0
simplified,window_209,6240,0,0
simplified,window_210,6270,0,0
simplified,window_211,6300,0,0
simplified,window_212,6330,0,0
simplified,window_213,6360,0,0
simplified,window_214,6390,0,0
simplified,window_215,6420,0,0
simplified,window_216,6450,0,0
simplified,window_217,6480,0,0
simplified,window_218,6510,0,0
simplified,window_219,6540,0,0
simplified,window_220,6570,0,0
simplified,window_221,6600,0,0
simplified,window_222,6630,0,0
simplified,window_223,6660,0,0
simplified,window_224,6690,0,0
simplified,window_225,6720,0,0
simplified,window_226,6750,0,0
simplified,window_227,6780,0,0
simplified,window_228,6810,0,0
simplified,window_229,6840,0,0
simplified,window_230,6870,0,0
simplified,window_231,6900,0,0
simplified,window_232,6930,0,0
simplified,window_233,6960,0,0
simplified,window_234,6990,0,0
simplified,window_235,7020,0,0
simplified,window_236,7050,0,0
simplified,window_237,7080,0,0
simplified,window_238,7110,0,0
simplified,window_239,7140,0,0
simplified,window_240,7170,0,0
simplified,window_241,7200,0,0
simplified,window_242,7230,0,0
simplified,window_243,7260,0,0
simplified,window_244,7290,0,0
simplified,window_245,7320,0,0
simplified,window_246,7350,0,0
simplified,window_247,7380,0,0
simplified,window_248,7410,0,0
simplified,window_249,7440,0,0
simplified,window_250,7470,0,0
simplified,window_251,7500,0,0
simplified,window_252,7530,0,0
simplified,window_253,7560,0,0
simplified,window_254,7590,0,0
simplified,window_255,7620,0,0
simplified,window_256,7650,0,0
simplified,window_257,7680,0,0
simplified,window_258,7710,0,0
simplified,window_259,7740,0,0
simplified,window_260,7770,0,0
simplified,window_261,7800,0,0
simplified,window_262,7830,0,0
simplified,window_263,7860,0,0
simplified,window_264,7890,0,0
simplified,window_265,7920,0,0
simplified,window_266,7950,0,0
simplified,window_267,7980,0,0
simplified,window_268,8010,0,0
simplified,window_269,8040,0,0
simplified,window_270,8070,0,0
simplified,window_271,8100,0,0
simplified,window_272,8130,0,0
simplified,window_273,8160,0,0
simplified,window_274,8190,0,0
simplified,window_275,8220,0,0
simplified,window_276,8250,0,0
simplified,window_277,8280,0,0
simplified,window_278,8310,0,0
simplified,window_279,8340,0,0
simplified,window_280,8370,0,0
simplified,window_281,8400,0,0
simplified,window_282,8430,0,0
simplified,window_283,8460,0,0
simplified,window_284,8490,0,0
simplified,window_285,8520,0,0
simplified,window_286,8550,0,0
simplified,window_287,8580,0,0
simplified,window_288,8610,0,0
simplified,window_289,8640,0,0
simplified,window_290,8670,0,0
simplified,window_291,8700,0,0
simplified,window_292,8730,0,0
simplified,window_293,8760,0,0
simplified,window_294,8790,0,0
simplified,window_295,8820,0,0
simplified,window_296,8850,0,0
simplified,window_297,8880,0,0
simplified,window_298,8910,0,0
simplified,window_299,8940,0,0
simplified,window_300,8970,0,0
simplified,window_301,9000,0,0
simplified,window_302,9030,0,0
simplified,window_303,9060,0,0
simplified,window_304,9090,0,0
simplified,window_305,9120,0,0
simplified,window_306,9150,0,0
simplified,window_307,9180,0,0
simplified,window_308,9210,0,0
simplified,window_309,9240,0,0
simplified,window_310,9270,0,0
simplified,window_311,9300,0,0
simplified,window_312,9330,0,0
simplified,window_313,9360,0,0
simplified,window_314,9390,0,0
simplified,window_315,9420,0,0
simplified,window_316,9450,0,0
simplified,window_317,9480,0,0
simplified,window_318,9510,0,0
simplified,window_319,9540,0,0
simplified,window_320,9570,0,0
simplified,window_321,9600,0,0
simplified,window_322,9630,0,0
simplified,window_323,9660,0,0
simplified,window_324,9690,0,0
simplified,window_325,9720,0,0
simplified,window_326,9750,0,0
simplified,window_327,9780,0,0
simplified,window_328,9810,0,0
simplified,window_329,9840,0,0
simplified,window_330,9870,0,0
simplified,window_331,9900,0,0
simplified,window_332,9930,0,0
simplified,window_333,9960,0,0
simplified,window_334,9990,0,0
simplified,window_335,10020,0,0
simplified,window_336,10050,0,0
simplified,window_337,10080,0,0
simplified,window_338,10110,0,0
simplified,window_339,10140,0,0
simplified,window_340,10170,0,0
simplified,window_341,10200,0,0
simplified,window_342,10230,0,0
simplified,window_343,10260,0,0
simplified,window_344,10290,0,0
simplified,window_345,10320,0,0
simplified,window_346,10350,0,0
simplified,window_347,10380,0,0
simplified,window_348,10410,0,0
simplified,window_349,10440,0,0
simplified,window_350,10470,0,0
simplified,window_351,10500,0,0
simplified,window_352,10530,0,0
simplified,window_353,10560,0,0
simplified,window_354,10590,0,0
simplified,window_355,10620,0,0
simplified,window_356,10650,0,0
simplified,window_357,10680,0,0
simplified,window_358,10710,0,0
simplified,window_359,10740,0,0
simplified,window_360,10770,0,0
simplified,window_361,10800,0,0
simplified,window_362,10830,0,0
simplified,window_363,10860,0,0
simplified,window_364,10890,0,0
simplified,window_365,10920,0,0
simplified,window_366,10950,0,0
simplified,window_367,10980,0,0
simplified,window_368,11010,0,0
simplified,window_369,11040,0,0
simplified,window_370,11070,0,0
simplified,window_371,11100,0,0
simplified,window_372,11130,0,0
simplified,window_373,11160,0,0
simplified,window_374,11190,0,0
simplified,window_375,11220,0,0
simplified,window_376,11250,0,0
simplified,window_377,11280,0,0
simplified,window_378,11310,0,0
simplified,window_379,11340,0,0
simplified,window_380,11370,0,0
simplified,window_381,11400,0,0
simplified,window_382,11430,0,0
simplified,window_383,11460,0,0
simplified,window_384,11490,0,0
simplified,window_385,11520,0,0
simplified,window_386,11550,0,0
simplified,window_387,11580,0,0
simplified,window_388,11610,0,0
simplified,window_389,11640,0,0
simplified,window_390,11670,0,0
simplified,window_391,11700,0,0
simplified,window_392,11730,0,0
simplified,window_393,11760,0,0
simplified,window_394,11790,0,0
simplified,window_395,11820,0,0
simplified,window_396,11850,0,0
simplified,window_397,11880,0,0
simplified,window_398,11910,0,0
simplified,window_399,11940,0,0
simplified,window_400,11970,0,0
simplified,window_401,12000,0,0
simplified,window_402,12030,0,0
simplified,window_403,12060,0,0
simplified,window_404,12090,0,0
simplified,window_405,12120,0,0
simplified,window_406,12150,0,0
simplified,window_407,12180,0,0
simplified,window_408,12210,0,0
simplified,window_409,12240,0,0
simplified,window_410,12270,0,0
